,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
139,"Sold - Oct 27, 2023","$2,000",,,,"5,227sqft lot5,227 square foot lot","Addison St Lot 49Jackson, MI 49203"
140,"Sold - Sep 8, 2023","$119,900",2bed,1bath,840sqft840 square feet,"2,178sqft lot2,178 square foot lot","619 Backus StJackson, MI 49202"
141,"Sold - Oct 6, 2023","$74,900$10k",3bed,1.5bath,"1,634sqft1,634 square feet","6,534sqft lot6,534 square foot lot","2102 E Ganson StJackson, MI 49202"
142,"Sold - Dec 8, 2023","$310,000$15k",2bed,2bath,"1,841sqft1,841 square feet",1acre lot1 acre lot,"109 W Washington Ave Apt 15Jackson, MI 49201"
143,"Sold - Aug 1, 2023","$165,100",2bed,2bath,"1,258sqft1,258 square feet",715sqft lot715 square foot lot,"848 W Barrington CirJackson, MI 49203"
144,"Sold - Jul 5, 2023","$267,000",4bed,1.5+bath,"2,234sqft2,234 square feet",1.9acre lot1.9 acre lot,"4680 Reynolds RdJackson, MI 49201"
145,"Sold - Sep 20, 2023","$125,000$10k",2bed,1bath,851sqft851 square feet,"7,841sqft lot7,841 square foot lot","738 Fairyland AveJackson, MI 49202"
146,"Sold - Jul 31, 2023","$32,100",1bed,1bath,512sqft512 square feet,1acre lot1 acre lot,"1117 Woodworth RdJackson, MI 49202"
147,"Sold - Nov 1, 2023","$205,000",3bed,1bath,925sqft925 square feet,0.33acre lot0.33 acre lot,"5628 Holly DrJackson, MI 49201"
148,"Sold - Aug 3, 2023","$15,000",,,,0.79acre lot0.79 acre lot,"14 Twin Meadow DrJackson, MI 49201"
149,"Sold - Nov 29, 2023","$41,900$6.1k",3bed,1bath,"1,168sqft1,168 square feet","4,356sqft lot4,356 square foot lot","734 Irving StJackson, MI 49202"
150,"Sold - Nov 2, 2023","$295,000",3bed,1.5bath,"2,200sqft2,200 square feet",0.29acre lot0.29 acre lot,"2326 Smalley StJackson, MI 49203"
151,"Sold - Jul 13, 2023","$75,000",2bed,1bath,600sqft600 square feet,"6,098sqft lot6,098 square foot lot","3432 Sunnyheart AveJackson, MI 49202"
152,"Sold - Oct 18, 2023","$77,500$11.45k",,,,14.37acre lot14.37 acre lot,"V/L Thru Roamin DrJackson, MI 49201"
153,"Sold - Dec 5, 2023","$252,500",3bed,1.5bath,"1,456sqft1,456 square feet",1acre lot1 acre lot,"3760 Sargent RdJackson, MI 49201"
154,"Sold - Sep 15, 2023","$425,000$25k",5bed,3.5bath,"4,456sqft4,456 square feet",1.94acre lot1.94 acre lot,"3720 W Primilia LnJackson, MI 49201"
155,"Sold - Aug 18, 2023","$154,000",3bed,2.5bath,"1,802sqft1,802 square feet",,"2792 Walden Woods BlvdJackson, MI 49201"
156,"Sold - Nov 22, 2023","$265,000",3bed,1.5bath,"1,440sqft1,440 square feet",0.36acre lot0.36 acre lot,"2073 Campbell DrJackson, MI 49202"
157,"Sold - Nov 3, 2023","$102,000",3bed,2bath,"1,072sqft1,072 square feet","6,534sqft lot6,534 square foot lot","349 N Dwight StJackson, MI 49202"
158,"Sold - Aug 30, 2023","$22,500",,,,1.11acre lot1.11 acre lot,"Jackson, MI 49201"
159,"Sold - Aug 10, 2023","$125,000",2bed,1bath,"1,180sqft1,180 square feet","4,356sqft lot4,356 square foot lot","1809 Lewis StJackson, MI 49203"
160,"Sold - Jul 31, 2023","$166,000",3bed,2bath,"1,506sqft1,506 square feet","5,227sqft lot5,227 square foot lot","616 Jefferson StJackson, MI 49202"
161,"Sold - Oct 27, 2023","$96,000",2bed,1bath,759sqft759 square feet,"2,614sqft lot2,614 square foot lot","511 Adams StJackson, MI 49202"
162,"Sold - Jun 28, 2023","$126,400",3bed,1bath,"1,573sqft1,573 square feet","4,792sqft lot4,792 square foot lot","617 Union StJackson, MI 49203"
163,"Sold - Sep 12, 2023","$256,500",3bed,2bath,"1,332sqft1,332 square feet",0.71acre lot0.71 acre lot,"6535 Rives Junction RdJackson, MI 49201"
164,"Sold - Aug 10, 2023","$58,000",,,,4.72acre lot4.72 acre lot,"GreenwoodJackson, MI 49201"
165,"Sold - Jul 14, 2023","$15,000",,,,0.58acre lot0.58 acre lot,"Page AveJackson, MI 49201"
166,"Sold - Dec 1, 2023","$205,000",4bed,2bath,"1,956sqft1,956 square feet","6,534sqft lot6,534 square foot lot","206 S Grinnell StJackson, MI 49203"
167,"Sold - Dec 1, 2023","$235,000$5k",3bed,2bath,"1,518sqft1,518 square feet",0.37acre lot0.37 acre lot,"601 Robinson RdJackson, MI 49203"
168,"Sold - Jun 27, 2023","$369,900",3bed,2bath,"1,816sqft1,816 square feet",0.38acre lot0.38 acre lot,"1940 Warren AveJackson, MI 49203"
169,"Sold - Nov 3, 2023","$310,000",3bed,2bath,"2,362sqft2,362 square feet",1.07acre lot1.07 acre lot,"7117 E Michigan AveJackson, MI 49201"
170,"Sold - Jul 14, 2023","$15,000",,,,0.58acre lot0.58 acre lot,"Page AveJackson, MI 49201"
171,"Sold - Nov 17, 2023","$800,000",,,,3.3acre lot3.3 acre lot,"7657 Ann Arbor RdJackson, MI 49201"
172,"Sold - Jun 26, 2023","$175,000",,,,32acre lot32 acre lot,"10750 Churchill RdJackson, MI 49201"
173,"Sold - Sep 21, 2023","$129,000",3bed,1.5bath,"1,116sqft1,116 square feet","4,356sqft lot4,356 square foot lot","534 Orange StJackson, MI 49202"
174,"Sold - Aug 9, 2023","$365,000",5bed,3bath,"3,738sqft3,738 square feet",4.63acre lot4.63 acre lot,"6456 Jordan RdJackson, MI 49201"
175,"Sold - Oct 24, 2023","$370,000",3bed,3bath,"2,634sqft2,634 square feet",,"4672 Suffolk LnJackson, MI 49201"
176,"Sold - Aug 28, 2023","$133,900$1k",3bed,1bath,"1,144sqft1,144 square feet","4,356sqft lot4,356 square foot lot","614 N State StJackson, MI 49202"
177,"Sold - Jul 5, 2023","$169,000",3bed,1.5bath,"1,306sqft1,306 square feet",0.52acre lot0.52 acre lot,"1224 Seymour AveJackson, MI 49202"
178,"Sold - Jul 21, 2023","$344,587",3bed,2.5bath,"1,756sqft1,756 square feet",1.33acre lot1.33 acre lot,"4010 Stoney Meadows DrJackson, MI 49201"
179,"Sold - Nov 22, 2023","$230,000",3bed,2bath,"1,319sqft1,319 square feet",0.4acre lot0.4 acre lot,"3382 Harben StJackson, MI 49203"
180,"Sold - Dec 1, 2023","$28,500",Studio,1bath,516sqft516 square feet,,"715 W Michigan Ave Apt 807Jackson, MI 49201"
181,"Sold - Jun 23, 2023","$291,000",3bed,2bath,"3,228sqft3,228 square feet",2acre lot2 acre lot,"5060 Ann Arbor RdJackson, MI 49201"
182,"Sold - Sep 13, 2023","$21,500",,,,1.12acre lot1.12 acre lot,"Leora Ln Lot 1Jackson, MI 49201"
183,"Sold - Jul 7, 2023","$160,000",3bed,1bath,"1,077sqft1,077 square feet","7,841sqft lot7,841 square foot lot","3448 Tracey DrJackson, MI 49203"
184,"Sold - Nov 20, 2023","$187,000",3bed,2.5bath,"1,930sqft1,930 square feet",0.44acre lot0.44 acre lot,"118 Summit StJackson, MI 49203"
185,"Sold - Jun 14, 2023","$125,000",3bed,1bath,"1,204sqft1,204 square feet","3,920sqft lot3,920 square foot lot","1411 Mound AveJackson, MI 49203"
186,"Sold - Jul 17, 2023","$219,500",,,,2acre lot2 acre lot,"9355 Lee RdJackson, MI 49201"
187,"Sold - Jun 21, 2023","$350,000",3bed,2bath,"1,900sqft1,900 square feet",3.73acre lot3.73 acre lot,"5954 Brills Lake RdJackson, MI 49201"
188,"Sold - Jun 30, 2023","$39,900",Studio,1bath,518sqft518 square feet,,"715 W Michigan Ave Apt 607Jackson, MI 49201"
189,"Sold - Oct 18, 2023","$160,000",3bed,1bath,"1,008sqft1,008 square feet","8,276sqft lot8,276 square foot lot","741 Oakdale AveJackson, MI 49203"
190,"Sold - Oct 31, 2023","$173,000",3bed,1bath,"1,756sqft1,756 square feet","6,098sqft lot6,098 square foot lot","238 Wright StJackson, MI 49203"
191,"Sold - Jul 31, 2023","$115,000",3bed,1bath,"1,144sqft1,144 square feet","6,534sqft lot6,534 square foot lot","709 Center StJackson, MI 49202"
192,"Sold - Jun 15, 2023","$237,000",3bed,1.5bath,"2,003sqft2,003 square feet",0.94acre lot0.94 acre lot,"5025 Rimers DrJackson, MI 49201"
193,"Sold - Sep 20, 2023","$185,000",3bed,2bath,"1,976sqft1,976 square feet",0.45acre lot0.45 acre lot,"2017 1st StJackson, MI 49203"
194,"Sold - Aug 17, 2023","$187,500",3bed,1bath,"1,650sqft1,650 square feet",0.61acre lot0.61 acre lot,"3333 Seymour RdJackson, MI 49201"
195,"Sold - Aug 3, 2023","$475,000",4bed,3.5bath,"3,320sqft3,320 square feet",0.59acre lot0.59 acre lot,"3171 Rockingham RdJackson, MI 49203"
196,"Sold - Sep 28, 2023","$30,000",3bed,2bath,"1,344sqft1,344 square feet",0.38acre lot0.38 acre lot,"5650 Trailer DrJackson, MI 49201"
197,"Sold - Nov 22, 2023","$182,000$4k",3bed,1.5bath,"1,400sqft1,400 square feet","8,712sqft lot8,712 square foot lot","1514 S West AveJackson, MI 49203"
198,"Sold - Jun 27, 2023","$38,000",,,,0.44acre lot0.44 acre lot,"Vl Coronado Dr Unit 43Jackson, MI 49201"
199,"Sold - Jul 11, 2023","$178,500",,,,0.39acre lot0.39 acre lot,"2262 Saines Manor DrJackson, MI 49201"
200,"Sold - Oct 19, 2023","$166,000$10k",4bed,2.5bath,"1,193sqft1,193 square feet","4,792sqft lot4,792 square foot lot","1024 Hill PlJackson, MI 49202"
201,"Sold - Jul 28, 2023","$80,000",2bed,1bath,924sqft924 square feet,"3,833sqft lot3,833 square foot lot","549 Seymour AveJackson, MI 49202"
202,"Sold - Oct 13, 2023","$30,000",2bed,1bath,960sqft960 square feet,"5,271sqft lot5,271 square foot lot","312 E Addison StJackson, MI 49203"
203,"Sold - Oct 20, 2023","$235,000",3bed,2bath,"2,073sqft2,073 square feet",0.4acre lot0.4 acre lot,"510 Sulgrave AveJackson, MI 49203"
204,"Sold - Sep 21, 2023","$122,500$4.1k",2bed,2bath,"1,040sqft1,040 square feet",0.37acre lot0.37 acre lot,"320 Evelyn StJackson, MI 49203"
205,"Sold - Aug 4, 2023","$177,000",3bed,2bath,"1,680sqft1,680 square feet",0.82acre lot0.82 acre lot,"4214 County Farm RdJackson, MI 49201"
206,"Sold - Sep 28, 2023","$140,000",3bed,1bath,960sqft960 square feet,"6,534sqft lot6,534 square foot lot","207 N Brown StJackson, MI 49202"
207,"Sold - Dec 8, 2023","$43,000",2bed,1bath,744sqft744 square feet,"6,534sqft lot6,534 square foot lot","312 E Robinson StJackson, MI 49203"
208,"Sold - Dec 11, 2023","$65,000",3bed,1bath,"1,728sqft1,728 square feet","6,534sqft lot6,534 square foot lot","127 Damon StJackson, MI 49203"
209,"Sold - Aug 30, 2023","$275,000",4bed,2bath,"2,352sqft2,352 square feet",4.99acre lot4.99 acre lot,"8625 Abbey RdJackson, MI 49201"
210,"Sold - Dec 8, 2023","$310,000$15k",2bed,2bath,"1,841sqft1,841 square feet",1acre lot1 acre lot,"109 W Washington Ave Apt 15Jackson, MI 49201"
211,"Sold - Aug 21, 2023","$131,000$10k",2bed,2bath,816sqft816 square feet,"8,712sqft lot8,712 square foot lot","256 Curtis AveJackson, MI 49203"
212,"Sold - Aug 24, 2023","$317,000",4bed,2.5bath,"2,361sqft2,361 square feet",0.9acre lot0.9 acre lot,"3551 Timber DrJackson, MI 49203"
213,"Sold - Sep 29, 2023","$199,000",3bed,1bath,"1,014sqft1,014 square feet",0.32acre lot0.32 acre lot,"2664 Fairway DrJackson, MI 49201"
214,"Sold - Aug 28, 2023","$70,000",,,,"8,712sqft lot8,712 square foot lot","124 N Gorham StJackson, MI 49202"
215,"Sold - Aug 23, 2023","$219,900",4bed,2bath,"2,920sqft2,920 square feet","7,405sqft lot7,405 square foot lot","754 Beverly PlJackson, MI 49203"
216,"Sold - Jun 19, 2023","$237,500",3bed,2bath,"1,120sqft1,120 square feet",0.28acre lot0.28 acre lot,"5234 S Boulder StJackson, MI 49201"
217,"Sold - Jun 28, 2023","$160,000",3bed,1bath,"1,020sqft1,020 square feet","7,405sqft lot7,405 square foot lot","1024 S Wisner StJackson, MI 49203"
218,"Sold - Jun 30, 2023","$123,900",3bed,1bath,"1,291sqft1,291 square feet","6,273sqft lot6,273 square foot lot","1135 Hamilton StJackson, MI 49202"
219,"Sold - Jun 30, 2023","$180,000",2bed,2bath,"1,500sqft1,500 square feet",1.8acre lot1.8 acre lot,"5205 Page AveJackson, MI 49201"
220,"Sold - Sep 12, 2023","$256,500",3bed,2bath,"1,332sqft1,332 square feet",0.71acre lot0.71 acre lot,"6535 Rives Junction RdJackson, MI 49201"
221,"Sold - Sep 20, 2023","$225,000",3bed,1.5bath,"1,356sqft1,356 square feet",1.48acre lot1.48 acre lot,"2531 E South StJackson, MI 49201"
222,"Sold - Dec 5, 2023","$252,500",3bed,1.5bath,"1,456sqft1,456 square feet",1acre lot1 acre lot,"3760 Sargent RdJackson, MI 49201"
223,"Sold - Sep 15, 2023","$425,000$25k",5bed,3.5bath,"4,456sqft4,456 square feet",1.94acre lot1.94 acre lot,"3720 W Primilia LnJackson, MI 49201"
224,"Sold - Aug 18, 2023","$154,000",3bed,2.5bath,"1,802sqft1,802 square feet",,"2792 Walden Woods BlvdJackson, MI 49201"
225,"Sold - Nov 22, 2023","$265,000",3bed,1.5bath,"1,440sqft1,440 square feet",0.36acre lot0.36 acre lot,"2073 Campbell DrJackson, MI 49202"
226,"Sold - Nov 3, 2023","$102,000",3bed,2bath,"1,072sqft1,072 square feet","6,534sqft lot6,534 square foot lot","349 N Dwight StJackson, MI 49202"
227,"Sold - Aug 30, 2023","$22,500",,,,1.11acre lot1.11 acre lot,"Jackson, MI 49201"
228,"Sold - Aug 10, 2023","$125,000",2bed,1bath,"1,180sqft1,180 square feet","4,356sqft lot4,356 square foot lot","1809 Lewis StJackson, MI 49203"
229,"Sold - Dec 1, 2023","$205,000",4bed,2bath,"1,956sqft1,956 square feet","6,534sqft lot6,534 square foot lot","206 S Grinnell StJackson, MI 49203"
230,"Sold - Oct 27, 2023","$96,000",2bed,1bath,759sqft759 square feet,"2,614sqft lot2,614 square foot lot","511 Adams StJackson, MI 49202"
231,"Sold - Jun 28, 2023","$126,400",3bed,1bath,"1,573sqft1,573 square feet","4,792sqft lot4,792 square foot lot","617 Union StJackson, MI 49203"
232,"Sold - Jul 14, 2023","$550,000",6bed,3.5bath,"6,027sqft6,027 square feet",2.98acre lot2.98 acre lot,"851 Roselle StJackson, MI 49201"
233,"Sold - Oct 30, 2023","$150,000$10k",2bed,1.5bath,"1,910sqft1,910 square feet",0.42acre lot0.42 acre lot,"2006 Parkwood WayJackson, MI 49203"
234,"Sold - Aug 31, 2023","$75,000",2bed,1bath,784sqft784 square feet,"8,276sqft lot8,276 square foot lot","149 Avondale AveJackson, MI 49203"
235,"Sold - Dec 1, 2023","$235,000$5k",3bed,2bath,"1,518sqft1,518 square feet",0.37acre lot0.37 acre lot,"601 Robinson RdJackson, MI 49203"
236,"Sold - Nov 13, 2023","$77,000",2bed,1bath,800sqft800 square feet,"7,841sqft lot7,841 square foot lot","334 Oak Grove AveJackson, MI 49203"
237,"Sold - Jul 20, 2023","$267,000",4bed,2.5bath,"1,775sqft1,775 square feet",1.16acre lot1.16 acre lot,"3509 Balmars AveJackson, MI 49201"
238,"Sold - Jul 31, 2023","$166,000",3bed,2bath,"1,506sqft1,506 square feet","5,227sqft lot5,227 square foot lot","616 Jefferson StJackson, MI 49202"
239,"Sold - Jul 5, 2023","$267,000",4bed,1.5+bath,"2,234sqft2,234 square feet",1.9acre lot1.9 acre lot,"4680 Reynolds RdJackson, MI 49201"
240,"Sold - Sep 20, 2023","$125,000$10k",2bed,1bath,851sqft851 square feet,"7,841sqft lot7,841 square foot lot","738 Fairyland AveJackson, MI 49202"
241,"Sold - Jul 31, 2023","$32,100",1bed,1bath,512sqft512 square feet,1acre lot1 acre lot,"1117 Woodworth RdJackson, MI 49202"
242,"Sold - Nov 29, 2023","$41,900$6.1k",3bed,1bath,"1,168sqft1,168 square feet","4,356sqft lot4,356 square foot lot","734 Irving StJackson, MI 49202"
243,"Sold - Nov 1, 2023","$205,000",3bed,1bath,925sqft925 square feet,0.33acre lot0.33 acre lot,"5628 Holly DrJackson, MI 49201"
244,"Sold - Aug 3, 2023","$15,000",,,,0.79acre lot0.79 acre lot,"14 Twin Meadow DrJackson, MI 49201"
245,"Sold - Sep 29, 2023","$129,000",3bed,2bath,"1,774sqft1,774 square feet",0.28acre lot0.28 acre lot,"1111 Wildwood AveJackson, MI 49202"
246,"Sold - Oct 13, 2023","$41,000$10k",4bed,2bath,"1,680sqft1,680 square feet","5,227sqft lot5,227 square foot lot","1408 Deyo StJackson, MI 49203"
247,"Sold - Jul 7, 2023","$160,000",,,,"7,478sqft lot7,478 square foot lot","2449 Saint Bernard DrJackson, MI 49201"
248,"Sold - Sep 6, 2023","$40,000$10k",4bed,1.5bath,"1,285sqft1,285 square feet","9,583sqft lot9,583 square foot lot","728 S Pleasant StJackson, MI 49203"
249,"Sold - Jun 22, 2023","$152,000",2bed,2.5bath,"1,228sqft1,228 square feet",,"2786 Walden Woods BlvdJackson, MI 49201"
250,"Sold - Jul 14, 2023","$315,000",2bed,2bath,"1,250sqft1,250 square feet",,"4051 Stoneridge DrJackson, MI 49203"
251,"Sold - Oct 18, 2023","$19,900",,,,0.42acre lot0.42 acre lot,"Ida BlvdJackson, MI 49201"
252,"Sold - Oct 18, 2023","$190,000",2bed,1bath,"1,140sqft1,140 square feet",0.94acre lot0.94 acre lot,"1024 Evanston DrJackson, MI 49202"
253,"Sold - Jul 24, 2023","$218,500",3bed,1.5bath,"1,800sqft1,800 square feet",0.26acre lot0.26 acre lot,"3868 Mayfield DrJackson, MI 49203"
254,"Sold - Sep 8, 2023","$120,000",2bed,1bath,"1,112sqft1,112 square feet",0.25acre lot0.25 acre lot,"3111 Matthews StJackson, MI 49203"
255,"Sold - Oct 30, 2023","$255,000$11k",3bed,1bath,"1,663sqft1,663 square feet",1.2acre lot1.2 acre lot,"6044 Riverside DrJackson, MI 49201"
256,"Sold - Aug 29, 2023","$159,900",3bed,2bath,"1,592sqft1,592 square feet","7,405sqft lot7,405 square foot lot","610 Ellery AveJackson, MI 49202"
257,"Sold - Sep 13, 2023","$50,000",5bed,1.5bath,"1,592sqft1,592 square feet","4,356sqft lot4,356 square foot lot","1120 S Milwaukee StJackson, MI 49203"
258,"Sold - Dec 1, 2023","$125,000$7k",3bed,1bath,"1,300sqft1,300 square feet","5,562sqft lot5,562 square foot lot","304 E Monroe StJackson, MI 49202"
259,"Sold - Jul 28, 2023","$765,000",4bed,3.5bath,"3,786sqft3,786 square feet",17.85acre lot17.85 acre lot,"4701 Culley LnJackson, MI 49201"
260,"Sold - Jun 30, 2023","$34,000",1bed,1bath,571sqft571 square feet,,"715 W Michigan Ave Apt 302Jackson, MI 49201"
261,"Sold - Aug 10, 2023","$42,500",,,,"4,356sqft lot4,356 square foot lot","606 S Blackstone StJackson, MI 49203"
262,"Sold - Jul 14, 2023","$2,500",3bed,1bath,"1,380sqft1,380 square feet",0.37acre lot0.37 acre lot,"220 W Palmer AveJackson, MI 49203"
263,"Sold - Sep 1, 2023","$19,900",Studio,,320sqft320 square feet,0.25acre lot0.25 acre lot,"2306 W Washington AveJackson, MI 49203"
264,"Sold - Oct 27, 2023","$50,000",2bed,1bath,"1,180sqft1,180 square feet","7,405sqft lot7,405 square foot lot","512 E Ganson StJackson, MI 49201"
265,"Sold - Sep 7, 2023","$190,000",,,,"8,712sqft lot8,712 square foot lot","714 E Pearl StJackson, MI 49201"
266,"Sold - Aug 15, 2023","$19,500",3bed,1bath,"1,500sqft1,500 square feet","2,178sqft lot2,178 square foot lot","1035 Williams StJackson, MI 49203"
267,"Sold - Jun 21, 2023","$145,000",4bed,1bath,"1,776sqft1,776 square feet","4,356sqft lot4,356 square foot lot","1402 1st StJackson, MI 49203"
268,"Sold - Oct 20, 2023","$125,000",3bed,1.5bath,"1,397sqft1,397 square feet","7,405sqft lot7,405 square foot lot","1001 W Franklin StJackson, MI 49203"
269,"Sold - Jul 13, 2023","$365,000",5bed,2.5+bath,"4,040sqft4,040 square feet",0.35acre lot0.35 acre lot,"901 Oakridge DrJackson, MI 49203"
270,"Sold - Sep 5, 2023","$399,000",4bed,3.5+bath,"2,184sqft2,184 square feet",2.01acre lot2.01 acre lot,"1195 Hayball RdJackson, MI 49201"
271,"Sold - Jul 17, 2023","$190,000",3bed,1.5bath,"2,016sqft2,016 square feet","8,712sqft lot8,712 square foot lot","116 S Higby StJackson, MI 49203"
272,"Sold - Aug 16, 2023","$314,900$2.1k",3bed,2.5bath,"2,591sqft2,591 square feet",1.72acre lot1.72 acre lot,"4156 Ida BlvdJackson, MI 49201"
273,"Sold - Nov 7, 2023","$75,000",2bed,1bath,828sqft828 square feet,"4,792sqft lot4,792 square foot lot","2725 Overhill RdJackson, MI 49203"
274,"Sold - Oct 6, 2023","$220,000",3bed,2bath,"1,496sqft1,496 square feet",0.34acre lot0.34 acre lot,"3104 John Glenn DrJackson, MI 49201"
275,"Sold - Aug 11, 2023","$635,000",4bed,3.5bath,"5,593sqft5,593 square feet",2.18acre lot2.18 acre lot,"7043 Sanctuary DrJackson, MI 49201"
276,"Sold - Aug 11, 2023","$285,000",5bed,2.5bath,"2,730sqft2,730 square feet","7,405sqft lot7,405 square foot lot","770 Bloomfield BlvdJackson, MI 49203"
277,"Sold - Sep 22, 2023","$54,000",2bed,1bath,800sqft800 square feet,,"715 W Michigan Ave Apt 706Jackson, MI 49201"
278,"Sold - Oct 26, 2023","$250,000",2bed,2bath,"2,648sqft2,648 square feet",0.29acre lot0.29 acre lot,"610 S 24th StJackson, MI 49203"
